hotel_name,location,country,description,amenities,rating,contact,website_url,source_url,latitude,longitude
Villa Paradisio,Nairobi,Kenya,"Villa Paradisio is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/7686965508,-1.2353725,36.763006
Maruti gardens,Nairobi,Kenya,"Maruti gardens is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/7686965509,-1.2424475,36.7638036
Julia Court,Nairobi,Kenya,Apartment Building,Not listed,Not listed,,,https://www.openstreetmap.org/node/7913591673,-1.3047658,36.7395377
The Social House,Nairobi,Kenya,"The Social House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8193801353,-1.2806507,36.7681086
RUBY G HOTEL,Nairobi,Kenya,"RUBY G HOTEL is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8230475517,-1.1862704,36.907099
Seasons Airport,Nairobi,Kenya,"Seasons Airport is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8296786367,-1.3086463,36.9103606
Villa Park Springs,Nairobi,Kenya,"Villa Park Springs is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8315056657,-1.2276202,36.6968651
Melili,Nairobi,Kenya,"Melili is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8342029550,-1.3114618,36.8327512
Greenvale,Nairobi,Kenya,"Greenvale is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8345317203,-1.1872166,36.8943849
The Shed,Nairobi,Kenya,"The Shed is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8360955491,-1.2354498,36.7483511
One-Forty-Eight,Nairobi,Kenya,"One-Forty-Eight is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8367414593,-1.3819334,36.7509122
Osoita Lodge,Nairobi,Kenya,"Osoita Lodge is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8371880124,-1.3923088,36.7799016
Olarro Hotel,Nairobi,Kenya,"Olarro Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8371880133,-1.3914744,36.7835271
Masai Lodge,Nairobi,Kenya,"Masai Lodge is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8371880135,-1.3833998,36.812752
Davana Hotel,Nairobi,Kenya,"Davana Hotel is an accommodation option in Nairobi, Kenya.","air_conditioning, bar",Not listed,,,https://www.openstreetmap.org/node/8394921553,-1.2848165,36.9037879
Kepro Farm,Nairobi,Kenya,"Kepro Farm is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8510984235,-1.3775662,36.7284946
Hotel Kepler,Nairobi,Kenya,"Hotel Kepler is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8681451618,-1.32472,36.8967933
DNM Events Park,Nairobi,Kenya,"DNM Events Park is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/8864598118,-1.226165,36.8662342
Zima,Nairobi,Kenya,"Zima is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/9014259342,-1.2116999,36.8952098
Otumbo Hotel,Nairobi,Kenya,"Otumbo Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/9037539710,-1.3144458,36.7826873
smarts residence,Nairobi,Kenya,"smarts residence is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,,,https://www.openstreetmap.org/node/9364168511,-1.2980994,36.7718963
Jennifer place,Nairobi,Kenya,"Jennifer place is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/9753013618,-1.2567087,36.7037822
Qwetu Student Residences Hurlingham,Nairobi,Kenya,"Qwetu Student Residences Hurlingham is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/9885763787,-1.2962381,36.8017603
Rigdeways park hotel,Nairobi,Kenya,"Rigdeways park hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/10080456617,-1.230775,36.8439421
mothers home,Nairobi,Kenya,"mothers home is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/10142863517,-1.2596041,36.7573519
Marrkson Suites,Nairobi,Kenya,"Marrkson Suites is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/10566929709,-1.2961812,36.7977743
Sislink hotel,Nairobi,Kenya,"Sislink hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/10613627271,-1.2796996,36.8224776
Shariif Hotel,Nairobi,Kenya,"Shariif Hotel is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,00254701212121,,https://www.openstreetmap.org/node/10646625105,-1.2747736,36.8510774
Rwathia hotel,Nairobi,Kenya,Rooms from 1000 KSH/night (02/2023),Not listed,Not listed,,,https://www.openstreetmap.org/node/10651644416,-1.2775963,36.8295774
hotel,Nairobi,Kenya,"hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/10789830948,-1.3070029,36.7883809
Safari restaurant base,Nairobi,Kenya,"Safari restaurant base is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/10941467816,-1.2255477,36.8837443
Daily Harvest Gardens,Nairobi,Kenya,"Daily Harvest Gardens is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/10965472707,-1.2902981,36.7830125
ILRI Hostel,Nairobi,Kenya,"ILRI Hostel is an accommodation option in Nairobi, Kenya.","internet_access, wheelchair",Not listed,,,https://www.openstreetmap.org/node/10973962381,-1.2676156,36.7216821
JW Marriott,Nairobi,Kenya,"JW Marriott is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,https://jw-marriott.marriott.com/,https://www.openstreetmap.org/node/11217260906,-1.2704554,36.8091639
Nairobi Backpackers,Nairobi,Kenya,"Nairobi Backpackers is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,+254785539506,https://nairobibackpackers.co.ke/,https://www.openstreetmap.org/node/11301667369,-1.2728825,36.8013662
Longonot Place Serviced Apartments,Nairobi,Kenya,"Longonot Place Serviced Apartments is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,+254 722 205870,https://www.longonotplace.co.ke/,https://www.openstreetmap.org/node/11364992954,-1.2775021,36.8155172
Norfolk Towers Serviced Apartments,Nairobi,Kenya,"Norfolk Towers Serviced Apartments is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,+254 20 2220032,https://www.norfolktowers.co.ke/,https://www.openstreetmap.org/node/11364992955,-1.2765973,36.8149037
The Clarion Hotel,Nairobi,Kenya,"The Clarion Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,+254 721 485 024,https://theclarionhotel.co.ke,https://www.openstreetmap.org/node/11364992956,-1.2810693,36.8209165
Mulwa whites,Nairobi,Kenya,"Mulwa whites is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,+254 07 1442 3205,,https://www.openstreetmap.org/node/11607888081,-1.2566018,36.724041
"Kwetu Nairobi, Curio Collection by Hilton",Nairobi,Kenya,"Kwetu Nairobi, Curio Collection by Hilton is an accommodation option in Nairobi, Kenya.","internet_access, wheelchair",5,+254 709 588 000,https://www.hilton.com/en/hotels/nboknqq-kwetu-nairobi/,https://www.openstreetmap.org/node/11953157224,-1.2420381,36.79155
Kozi Suites,Nairobi,Kenya,"Kozi Suites is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/11999582570,-1.3607381,36.9179971
Jabulani Backpackers,Nairobi,Kenya,"Jabulani Backpackers is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,+254710542833,,https://www.openstreetmap.org/node/12040009186,-1.2616032,36.7967688
Impala Hotel,Nairobi,Kenya,"Impala Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12075947853,-1.264075,36.810185
Severine Cottages,Nairobi,Kenya,"Severine Cottages is an accommodation option in Nairobi, Kenya.","bar, internet_access, wheelchair",Not listed,+254 704 338050,https://www.severinecottages.com/,https://www.openstreetmap.org/node/12104557667,-1.3691016,36.7402087
Royal Surbubs by Tsavo,Nairobi,Kenya,"Royal Surbubs by Tsavo is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12114145105,-1.2173485,36.8870857
Best Western Plus Westlands,Nairobi,Kenya,"Best Western Plus Westlands is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,,https://www.bestwestern.com/en_US/book/nairobi/hotel-rooms/best-western-plus-westlands/propertyCode.75155.html,https://www.openstreetmap.org/node/12157254773,-1.2596876,36.8007404
YMCA Central,Nairobi,Kenya,"YMCA Central is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12160705401,-1.2800389,36.8124374
Fire Hotel,Nairobi,Kenya,"Fire Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12166895796,-1.281999,36.823556
Tea Zone Hotel,Nairobi,Kenya,"Tea Zone Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,+254 745 801870,,https://www.openstreetmap.org/node/12168516997,-1.2744274,36.8204963
Modern Christian Ladies Hostel,Nairobi,Kenya,"Modern Christian Ladies Hostel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12168600344,-1.2746202,36.8209966
minto guest house,Nairobi,Kenya,"minto guest house is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12249921713,-1.3053319,36.884325
upper-slum guest house,Nairobi,Kenya,"upper-slum guest house is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12249921714,-1.3099637,36.8753786
Msituni guests house,Nairobi,Kenya,"Msituni guests house is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12249921715,-1.3004323,36.8863767
Machakos guests house,Nairobi,Kenya,"Machakos guests house is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12249921716,-1.3016892,36.8862897
genter guest rooms,Nairobi,Kenya,"genter guest rooms is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12249921717,-1.3012541,36.8865585
New sinai guest house,Nairobi,Kenya,"New sinai guest house is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12249921718,-1.3052952,36.8840965
Crossroads Hotel,Nairobi,Kenya,"Crossroads Hotel is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,,,https://www.openstreetmap.org/node/12278089901,-1.2653354,36.8052791
HOTEL,Nairobi,Kenya,"HOTEL is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,,,https://www.openstreetmap.org/node/12749811801,-1.2859817,36.8734417
Freedom Heights,Nairobi,Kenya,"Freedom Heights is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12886281788,-1.3213116,36.8008977
Five Star,Nairobi,Kenya,"Five Star is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12886374871,-1.3236704,36.8268989
Manji House,Nairobi,Kenya,"Manji House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12886374897,-1.3066209,36.8565143
Riverside Tassia,Nairobi,Kenya,"Riverside Tassia is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12886532084,-1.2967979,36.9076456
Brad's Place- Tela Inn Bodaboda Stage,Nairobi,Kenya,"Brad's Place- Tela Inn Bodaboda Stage is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12886532095,-1.3174358,36.9015746
Chief�s Camp,Nairobi,Kenya,"Chief�s Camp is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/12886546518,-1.2560972,36.9274636
Mirema Cottages,Nairobi,Kenya,"Mirema Cottages is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,+25441409922,https://www.airbnb.com/rooms/820014569018853647,https://www.openstreetmap.org/node/13130479094,-1.2126966,36.8899573
Argyle Grand Hotel Nairobi Airport,Nairobi,Kenya,"Argyle Grand Hotel Nairobi Airport is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,+254797555888,https://argylehotelkenya.ke,https://www.openstreetmap.org/node/13230195601,-1.3530965,36.9054499
Sislink hotel (1000 kes חדר פרטי ללילה),Nairobi,Kenya,"Sislink hotel (1000 kes חדר פרטי ללילה) is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,,,https://www.openstreetmap.org/node/13310664101,-1.279694,36.8224289
Kibandaski,Nairobi,Kenya,"Kibandaski is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/13354983235,-1.2528444,36.8723029
PETER SHOP,Nairobi,Kenya,"PETER SHOP is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/13355000845,-1.2528982,36.8730277
Classic Guest Home,Nairobi,Kenya,"Classic Guest Home is an accommodation option in Nairobi, Kenya.","air_conditioning, bar, internet_access, swimming_pool, wheelchair",4.5,+254 726 052574,,https://www.openstreetmap.org/node/13377034939,-1.274398,36.7930451
Kapok City Hotel,Nairobi,Kenya,"Kapok City Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,0759335942,,https://www.openstreetmap.org/node/13392287501,-1.281884,36.825532
Razana Hotel,Nairobi,Kenya,"Razana Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/13430013701,-1.3134972,36.8292741
Nifah,Nairobi,Kenya,"Nifah is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/13433204101,-1.3185652,36.7808268
Sagas Hotel,Nairobi,Kenya,"Sagas Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/13529034630,-1.2319653,36.87571
InterContinental Hotel,Nairobi,Kenya,"InterContinental Hotel is an accommodation option in Nairobi, Kenya.","internet_access, wheelchair",5,,,https://www.openstreetmap.org/way/40925985,-1.2879144,36.8193004
Jacaranda Hotel,Nairobi,Kenya,"Jacaranda Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/51068213,-1.2625301,36.8015027
Fairmont The Norfolk,Nairobi,Kenya,"Fairmont The Norfolk is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,+254 20 2265000,https://www.fairmont.com/norfolk-hotel-nairobi/,https://www.openstreetmap.org/way/83245285,-1.277952,36.8166106
Miami Global Hotel,Nairobi,Kenya,"Miami Global Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,+254 727 300 849,https://www.miamiglobalhotel.co.ke/,https://www.openstreetmap.org/way/103156431,-1.307367,36.801762
Maison MITWABA,Nairobi,Kenya,"Maison MITWABA is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/116626001,-1.3284957,36.7354825
Purity Hostels,Nairobi,Kenya,"Purity Hostels is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/120102760,-1.2760281,36.7893167
Grand Holiday Hotel Or Club Signature,Nairobi,Kenya,"Grand Holiday Hotel Or Club Signature is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/123242659,-1.2831483,36.8264206
Sandton Palace Hotel,Nairobi,Kenya,"Sandton Palace Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/123242674,-1.283352,36.8258824
Oakwood Hotel,Nairobi,Kenya,"Oakwood Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/123272005,-1.2839622,36.8234369
Mid - View Hotel,Nairobi,Kenya,"Mid - View Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/123365083,-1.2823781,36.8251084
Marble Arch Hotel,Nairobi,Kenya,"Marble Arch Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/123449868,-1.2818587,36.8241293
Rivers Corner Hotel,Nairobi,Kenya,"Rivers Corner Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/123451903,-1.281166,36.8253927
Hotel Raya,Nairobi,Kenya,"Hotel Raya is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,,,https://www.openstreetmap.org/way/123451913,-1.2811762,36.8251064
Decasa hotel,Nairobi,Kenya,"Decasa hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/123451915,-1.2812238,36.8247416
Sunrise Hotel,Nairobi,Kenya,"Sunrise Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/123452837,-1.2809041,36.8241739
BAKARI HOTEL,Nairobi,Kenya,"BAKARI HOTEL is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/123614146,-1.2923295,36.8157154
ACK Guest House,Nairobi,Kenya,"ACK Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/123617560,-1.2914336,36.8121523
Adenbay City Hotel,Nairobi,Kenya,"Adenbay City Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/123699897,-1.2842919,36.8280268
Hotel Accra,Nairobi,Kenya,"Hotel Accra is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/123701923,-1.2838849,36.8266874
Yala House,Nairobi,Kenya,"Yala House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125105213,-1.2734093,36.7823168
Naivasha House,Nairobi,Kenya,"Naivasha House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125105218,-1.2749726,36.7829904
Suswa House,Nairobi,Kenya,"Suswa House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125105223,-1.2743666,36.7830151
Nyali House,Nairobi,Kenya,"Nyali House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125105224,-1.273804,36.7828241
Evamay (K) Ltd,Nairobi,Kenya,"Evamay (K) Ltd is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125105877,-1.2817181,36.8264267
The Clarion Hotel Nairobi,Nairobi,Kenya,"The Clarion Hotel Nairobi is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,,,https://www.openstreetmap.org/way/125107766,-1.2808222,36.8207156
Best Western Plus Meridian,Nairobi,Kenya,"Best Western Plus Meridian is an accommodation option in Nairobi, Kenya.","internet_access, wheelchair",Not listed,,,https://www.openstreetmap.org/way/125107771,-1.2807702,36.821534
Delta Hotel,Nairobi,Kenya,"Delta Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125141099,-1.2802131,36.8188806
Kahama Hotel,Nairobi,Kenya,"Kahama Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125224206,-1.277316,36.8221775
Town Lodge Upper Hill Actual Location,Nairobi,Kenya,"Town Lodge Upper Hill Actual Location is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125329541,-1.2923952,36.8100827
Town Lodge Upper Hill Nairobi,Nairobi,Kenya,"Town Lodge Upper Hill Nairobi is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125329555,-1.2925788,36.8103766
Fairview Apartments,Nairobi,Kenya,"Fairview Apartments is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125333515,-1.2923427,36.8085918
Flora Hostel Chapel,Nairobi,Kenya,"Flora Hostel Chapel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125334571,-1.2949808,36.8080931
Acacia Gardens Homestay,Nairobi,Kenya,"Acacia Gardens Homestay is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125335534,-1.2962262,36.8064939
Sarova Panafric Hotel Nairobi,Nairobi,Kenya,"Sarova Panafric Hotel Nairobi is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/125336234,-1.2901647,36.8104719
Palacina,Nairobi,Kenya,"Palacina is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/126445919,-1.2832811,36.7921995
Hotel Southern Blue,Nairobi,Kenya,"Hotel Southern Blue is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/126905210,-1.278253,36.8286698
Miami Guest House,Nairobi,Kenya,"Miami Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/128060793,-1.2766204,36.8306935
Up Rumys The Club,Nairobi,Kenya,"Up Rumys The Club is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/129542754,-1.2707622,36.8327389
Fig Tree Hotel,Nairobi,Kenya,"Fig Tree Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/130230076,-1.2760007,36.8226357
Nairobi Transit Hotel,Nairobi,Kenya,"Nairobi Transit Hotel is an accommodation option in Nairobi, Kenya.","air_conditioning, wheelchair",Not listed,+254 737 331332;+254 20 8022312,,https://www.openstreetmap.org/way/130236029,-1.2735846,36.8229653
Amani Lodge And Acommodation,Nairobi,Kenya,"Amani Lodge And Acommodation is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/130252008,-1.273975,36.8196781
Mandera,Nairobi,Kenya,"Mandera is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/160909830,-1.2514677,36.736788
Serena Central Stores Nairobi Kenya,Nairobi,Kenya,"Serena Central Stores Nairobi Kenya is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/216372229,-1.3292156,36.8815644
Novotel,Nairobi,Kenya,"Novotel is an accommodation option in Nairobi, Kenya.",wheelchair,Not listed,,https://all.accor.com/hotel/9332/index.en.shtml,https://www.openstreetmap.org/way/238856091,-1.2576887,36.8004944
Villa Rosa Kempinski,Nairobi,Kenya,"Villa Rosa Kempinski is an accommodation option in Nairobi, Kenya.",Not listed,5,,,https://www.openstreetmap.org/way/239044333,-1.2714844,36.8089382
Nairobi Serena,Nairobi,Kenya,"Nairobi Serena is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/239940264,-1.2870479,36.8145642
Lenana House Conference Centre,Nairobi,Kenya,"Lenana House Conference Centre is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/239942397,-1.2897087,36.8011592
Kigwa Guest Cabins,Nairobi,Kenya,"Kigwa Guest Cabins is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/240066326,-1.213764,36.8510143
Mvuli House - B&B,Nairobi,Kenya,"Mvuli House - B&B is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/241572488,-1.3060535,36.8239209
Olive Gardens Hotel,Nairobi,Kenya,"Olive Gardens Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/242986508,-1.294496,36.795948
Comfort Gardens,Nairobi,Kenya,"Comfort Gardens is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/246601567,-1.2310858,36.8039285
The Heron Hotel,Nairobi,Kenya,"The Heron Hotel is an accommodation option in Nairobi, Kenya.","internet_access, wheelchair",4,"+254-020-272 0740, 272 0741, 272 0742, 272 0743, 235 0401, 235 0402",https://www.sarovarhotels.com/the-heron-portico-nairobi/,https://www.openstreetmap.org/way/247373432,-1.2889945,36.8070447
Kivi Milimani Hotel,Nairobi,Kenya,"Kivi Milimani Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/247567722,-1.2888631,36.8058917
New Hillcrest Hotel,Nairobi,Kenya,"New Hillcrest Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/248896822,-1.2618679,36.7963284
LMS Guest House,Nairobi,Kenya,"LMS Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/254813561,-1.2891992,36.8087638
LMS Guest House (LMS),Nairobi,Kenya,"LMS Guest House (LMS) is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/254813562,-1.2889614,36.8087659
Upper Hill Hotel,Nairobi,Kenya,"Upper Hill Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,http://nairobiupperhillhotel.com/,https://www.openstreetmap.org/way/259712388,-1.3048793,36.8115574
Rosslyn View,Nairobi,Kenya,"Rosslyn View is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/263599205,-1.211923,36.7883382
The Boma Nairobi,Nairobi,Kenya,"The Boma Nairobi is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,,,https://www.openstreetmap.org/way/271393400,-1.3246529,36.8334029
Hemingways Nairobi,Nairobi,Kenya,"Hemingways Nairobi is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/288264460,-1.3430026,36.7037678
The Sarova Stanley Hotel,Nairobi,Kenya,"The Sarova Stanley Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/290323492,-1.2843843,36.8228672
Campus Lane,Nairobi,Kenya,"Campus Lane is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/298049056,-1.3560453,36.7588485
KISM Mens Hostel,Nairobi,Kenya,"KISM Mens Hostel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/313843652,-1.2496989,36.8561775
Jungle Junction,Nairobi,Kenya,"Jungle Junction is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/332160559,-1.3625783,36.7398089
The Laibon Hotel,Nairobi,Kenya,"The Laibon Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/366571567,-1.3123499,36.8361717
Esgray Hostels Westlands,Nairobi,Kenya,"Esgray Hostels Westlands is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/386595821,-1.268426,36.8069646
Pride Inn Gardens,Nairobi,Kenya,"Pride Inn Gardens is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/way/386595822,-1.2680973,36.8068966
